Region,Country,5/1/2020
,Malaysia,7495.163574
,Maldives,48.6873436
,Malta,681.8734741
,Mauritania,0
,Mauritius,361.2494812
,Mexico,19708.54102
,Moldova,4832.188965
,Monaco,99.71237946
,Mongolia,0
,Montenegro,367.285553
,Morocco,5419.76123
,Namibia,0
,Nepal,0
Aruba,Netherlands,107.0995102
Curacao,Netherlands,0
Sint Maarten,Netherlands,0
,Netherlands,50413.05859
,New Zealand,1681.611206
,Nicaragua,0
,Niger,959.6255493
,Nigeria,1017.730652
,North Macedonia,2118.696045
,Norway,11262.99707
,Oman,3173.537354
,Pakistan,13144.50781
,Panama,6880.78418
,Papua New Guinea,0
,Paraguay,323.7558594
,Peru,49946.77734
,Philippines,9984.222656
,Poland,14993.20117
,Portugal,24965.30078
,Qatar,12720.35547
,Romania,14182.22852
,Russia,153944.8438
,Rwanda,181.8856049
,Saint Lucia,0
,Saint Vincent and the Grenadines,0
,San Marino,663.4354858
,Saudi Arabia,23111.26953
,Senegal,472.5819397
,Serbia,14040.24414
,Seychelles,0
,Singapore,23153.42969
,Slovakia,1790.234131
,Slovenia,1582.616699
,Somalia,4165.274902
,South Africa,4462.846191
,Spain,255713.2969
,Sri Lanka,341.7852783
,Sudan,300.4792786
,Suriname,0
,Sweden,20747.89844
,Switzerland,32637.61719
,Taiwan*,446.0975037
,Tanzania,1759.133301
,Thailand,3089.68457
,Togo,94.65585327
,Trinidad and Tobago,115.7554703
,Tunisia,1142.695923
,Turkey,202760.8438
,Uganda,0
,Ukraine,15017.74414
,United Arab Emirates,15870.53613
Bermuda,United Kingdom,178.6927338
Cayman Islands,United Kingdom,0
Channel Islands,United Kingdom,766.9246216
Gibraltar,United Kingdom,143.5106506
Isle of Man,United Kingdom,495.9526672
Montserrat,United Kingdom,0
,United Kingdom,303340.7813
,Uruguay,636.0663452
,US,1415137.375
,Uzbekistan,4003.266357
,Venezuela,299.0401306
,Vietnam,300.6002502
,Zambia,0
,Zimbabwe,0
Diamond Princess,Canada,0
,Dominica,0
,Grenada,0
,Mozambique,0
,Syria,0
,Timor-Leste,0
,Belize,0
Recovered,Canada,0
,Laos,0
,Libya,0
,West Bank and Gaza,635.0787964
,Guinea-Bissau,0
,Mali,575.6204834
,Saint Kitts and Nevis,0
Northwest Territories,Canada,0
Yukon,Canada,0
,Kosovo,1382.095093
,Burma,666.4486694
Anguilla,United Kingdom,0
British Virgin Islands,United Kingdom,0
Turks and Caicos Islands,United Kingdom,0
,MS Zaandam,0
,Botswana,0
,Burundi,0
,Sierra Leone,0
"Bonaire, Sint Eustatius and Saba",Netherlands,0
,Malawi,0
Falkland Islands (Malvinas),United Kingdom,0
Saint Pierre and Miquelon,France,0
,South Sudan,0
,Western Sahara,0
,Sao Tome and Principe,0
,Yemen,0
